product_id,product_title,image,price
B00PATJU8Y,TRESemm̩ PERFECTLY (UN)DONE Hair Spray 7.7 oz,images/p1.jpg,$6.99 
B00HDZGF4K,"Joy & Karma Topical Vitamin C Anti Aging Serum for Face with Hyaluronic Acid, 1 fl oz",images/p10.jpg,$15.99 
B004QM0OJ0,TheraBreath Dry Mouth Lozenges,images/p47.jpg,$9.99 
B000NL0T1G,"Merkur Futur MK 23C Long-Handled Traditional Double Edge Safety Razor - Excellent Comfort, Control, and Design - 4.2 Inches, Chrome Finish",images/p55.jpg,$39.99 
B004VM9JCS,"Burt's Bees Eye Cream for Sensitive Skin, 0.5 Ounces",images/p15.jpg,$14.99 
B004OHQR1Q,"Dotting 5 X 2 Way Marbleizing Dotting Pen Set for Nail Art Manicure Pedicure, 4 Ounce",images/p34.jpg,$9.99 
B006MWL2ZM,Goddess Remi Human Hair Weave Bump - Trio 2 4 6,images/p81.jpg,$7.55 
B00EMJMEFY,6packs Eyelashes - 747S by Christina,images/p82.jpg,$11.79 
B00DSYFYRE,Dr Song Benzoyl Peroxide 10% Acne Cream Gel Treatment Lotion up to 8oz,images/p16.jpg,$12.99 
B00NL2AOPU,Philips Sonicare Powerup Battery Toothbrush,images/p48.jpg,$19.99 
B004J2P6D6,E.L.F Powder Puffs,images/p38.jpg,$3.99 
B00461F4PA,"Baby Foot Exfoliant Foot Peel, Lavender Scented, 2.4 Fl. Oz.",images/p70.jpg,$25.00 
B007ZN5ATQ,Philips Sonicare Essence Rechargeable Electric Toothbrush,images/p49.jpg,$34.99 
B001BKR5X8,India Temple Incense - Song of India - 120 Stick Large Box,images/p71.jpg,$12.99 
B00B76ALVO,"HSI Professional Glider | Ceramic Tourmaline Ionic Flat Iron Hair Straightener | Straightens & Curls with Adjustable Temp | Incl Glove, Pouch, & Travel Size Argan Oil Hair Treatment | Packaging Varies",images/p59.jpg,$59.99 
B009ESL1SY,Skulls and Roses Ed Hardy Eau De Parfums for Women,images/p40.jpg,$29.99 
B00YMMENPK,Rose Water,images/p72.jpg,$8.99 
B00TR6HX76,"Cynergy Health Science Organic Vitamin C Serum - 20% Vitamin C Serum plus Vegan Hyaluronic Acid with Aloe for Reducing Sun Spots, Age Spots, Anti-Aging and Anti-Wrinkle Skin",images/p11.jpg,$24.95 
B004FAWBTO,Carolina Herrera 3.4 fl oz Eau De Toilette Spray for Men,images/p41.jpg,$59.99 
